Country or area,Year,Unemp Men,Unemp Women,Source
AFGHANISTAN,2005,7.6,9.5,HS
ALBANIA,2009,12.2,15.9,LFS
ARGENTINA,2011,6.2,8.5,LFS
AUSTRIA,2011,4.0,4.3,LFS
BAHRAIN,2004,5.6,20.0,LFS
BANGLADESH,2009,4.2,7.4,LFS
BOLIVIA,2009,2.6,4.4,HS
BOSNIA AND HERZEGOVINA,2011,26.0,29.9,LFS
BULGARIA,2011,12.3,10.0,ELFS
CAMBODIA,2011,0.3,0.1,SES
COLOMBIA,2010,9.1,15.0,HS
CYPRUS,2011,7.8,7.7,ELFS
CZECH REPUBLIC,2011,5.8,7.9,LFS
DENMARK,2011,7.7,7.5,ELFS
EGYPT,2010,4.9,22.6,HS
GHANA,2006,3.5,3.6,LSS
GUINEA,1994,4.6,1.7,HS
HAITI,1999,6.2,8.3,HS
ITALY,2011,7.6,9.6,ELFS
JAPAN,2011,4.8,4.1,LFS
JORDAN,2011,11.0,21.2,LFS
KAZAKHSTAN,2011,4.6,6.2,LFS
KUWAIT,2005,2.0,1.8,PC
KYRGYZSTAN,2008,7.3,9.4,HS
LAO PEOPLES DEMOCRATIC REPUBLIC,2005,1.3,1.4,PC
LEBANON,2007,8.6,10.1,HS
MALAYSIA,2010,3.3,3.6,LFS
MALI,2004,7.2,10.9,HS
MAURITIUS,2011,5.2,12.3,LFS
MEXICO,2011,5.3,5.2,LFS
MYANMAR,1990,4.7,8.8,HS
NEPAL,2008,3.1,2.4,LFS
NIGER,2001,1.7,0.9,PC
NIGERIA,1986,3.7,4.4,HS
POLAND,2011,9.0,10.4,LFS
QATAR,2011,0.2,3.3,LFS
"KOREA, REPUBLIC OF",2011,3.6,3.1,LFS
"MOLDOVA, REPUBLIC OF",2011,7.7,5.6,LFS
ROMANIA,2011,7.9,6.8,ELFS
RUSSIAN FEDERATION,2011,7.0,6.2,LFS
SAUDI ARABIA,2009,3.5,15.9,LFS
SENEGAL,2006,7.9,13.6,HS
SIERRA LEONE,2004,4.5,2.3,PC
SINGAPORE,2011,2.6,3.2,LFS
SOUTH AFRICA,2011,22.3,27.7,HS
SRI LANKA,2010,3.5,7.7,LFS
SYRIAN ARAB REPUBLIC,2010,5.7,22.5,LFS
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",2011,31.8,30.8,ELFS
THAILAND,2011,0.7,0.6,LFS
TRINIDAD AND TOBAGO,2008,3.5,6.2,HS
TURKEY,2011,9.2,11.3,LFS
UGANDA,2009,3.1,5.1,HS
UKRAINE,2011,8.8,6.8,LFS
UNITED ARAB EMIRATES,2008,2.0,12.0,HS
UNITED STATES OF AMERICA,2011,9.4,8.5,LFS
VIETNAM,2011,1.7,2.4,LFS
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
