Country or area,Year,Total,Men,Women
Afghanistan,2009,8,10,6
Albania,2004,11,11,11
Algeria,2009,14,13,14
Andorra,2008,12,11,12
Angola,2010,10,11,9
Anguilla,2008,11,11,11
Antigua and Barbuda,2010,13,13,13
Argentina,2009,16,15,17
Armenia,2010,12,12,13
Aruba,2010,13,13,13
Australia,2010,20,19,20
Austria,2009,15,15,16
Azerbaijan,2010,12,12,12
Bahamas,2007,13,12,13
Bahrain,1999,13,13,14
Barbados,2010,16,15,18
Belarus,2007,15,14,15
Belgium,2009,16,16,17
Belize,2004,12,13,12
Benin,2005,9,11,7
Bermuda,2010,12,11,13
Bhutan,2011,12,12,12
Bolivia (Plurinational State of),2007,13,14,13
Bosnia and Herzegovina,2010,13,13,14
Botswana,2006,12,12,12
Brazil,2005,14,14,15
British Virgin Islands,2009,15,15,16
Brunei Darussalam,2010,15,15,15
Bulgaria,2010,14,14,14
Burkina Faso,2011,7,7,6
Burundi,2010,11,12,11
Cambodia,2008,11,11,10
Cameroon,2010,11,12,10
Canada,2002,15,15,16
Cape Verde,2010,13,12,13
Cayman Islands,2008,12,11,13
Central African Republic,2010,7,8,5
Chad,2010,7,9,6
Chile,2009,15,15,15
China,2010,12,11,12
"China, Hong Kong Special Administrative Region",2010,15,15,16
"China, Macao Special Administrative Region",2010,14,14,14
Colombia,2010,14,13,14
Comoros,2005,10,11,9
Congo,2004,10,11,10
Cook Islands,2011,12,12,13
Costa Rica,2005,12,12,12
Côte d'Ivoire,2000,6,8,5
Croatia,2010,14,13,15
Cuba,2010,16,15,17
Cyprus,2010,15,15,15
Czech Republic,2009,15,15,16
Democratic Republic of the Congo,2009,9,10,7
Denmark,2009,17,16,17
Djibouti,2011,6,6,5
Dominica,2008,13,13,13
Dominican Republic,2004,12,12,13
Ecuador,2008,14,13,14
Egypt,2010,12,12,12
El Salvador,2010,12,12,12
Equatorial Guinea,2002,8,9,7
Eritrea,2010,5,5,4
Estonia,2009,16,15,17
Ethiopia,2010,9,9,8
Fiji,2004,14,14,14
Finland,2010,17,16,18
France,2009,16,16,16
Gabon,2000,13,12,11
Gambia,2008,9,…,…
Georgia,2008,13,13,13
Ghana,2011,11,12,11
Greece,2007,16,16,16
Grenada,2009,16,15,16
Guatemala,2007,11,11,10
Guinea,2008,9,10,7
Guinea-Bissau,2000,10,7,5
Guyana,2010,10,10,11
Honduras,2008,11,11,12
Hungary,2009,15,15,16
Iceland,2009,18,17,20
India,2007,11,11,10
Indonesia,2010,13,13,13
Iran (Islamic Republic of),2010,14,15,14
Iraq,2004,10,11,9
Ireland,2009,18,18,19
Israel,2009,16,15,16
Italy,2009,16,16,17
Jamaica,2010,13,13,13
Japan,2010,15,15,15
Jordan,2010,13,12,13
Kazakhstan,2011,15,15,16
Kenya,2009,11,11,11
Kiribati,2008,12,12,12
Kuwait,2004,14,13,15
Kyrgyzstan,2009,13,12,13
Lao People's Democratic Republic,2010,10,11,9
Latvia,2010,15,14,16
Lebanon,2010,14,13,14
Lesotho,2007,10,9,10
Liberia,2000,11,12,9
Libya,2003,16,16,16
Liechtenstein,2010,12,12,11
Lithuania,2010,16,15,17
Luxembourg,2008,13,13,14
Madagascar,2009,10,11,10
Malawi,2010,10,10,10
Malaysia,2005,13,12,13
Maldives,2004,12,12,13
Mali,2011,7,8,7
Malta,2010,15,15,15
Marshall Islands,2003,12,11,12
Mauritania,2010,8,8,8
Mauritius,2008,14,13,14
Mexico,2010,14,14,14
Mongolia,2010,14,14,15
Montenegro,2010,15,15,15
Montserrat,2007,15,14,17
Morocco,2007,10,11,10
Mozambique,2007,9,10,8
Myanmar,2007,9,…,…
Namibia,2006,11,11,11
Nauru,2008,9,9,10
Nepal,2002,9,10,8
Netherlands,2009,17,17,17
Netherlands Antilles,2002,14,14,15
New Zealand,2010,20,19,20
Nicaragua,2003,11,11,11
Niger,2010,5,6,4
Nigeria,2005,9,10,8
Niue,2005,13,12,15
Norway,2010,17,17,18
Occupied Palestinian Territory,2010,13,13,14
Oman,2009,14,13,14
Pakistan,2009,7,8,6
Palau,2000,14,13,15
Panama,2009,13,13,14
Papua New Guinea,1998,6,6,5
Paraguay,2009,12,12,12
Peru,2010,13,13,13
Philippines,2008,12,11,12
Poland,2009,15,15,16
Portugal,2009,16,16,16
Puerto Rico,2010,15,14,16
Qatar,2010,12,12,14
Republic of Korea,2010,17,18,16
Republic of Moldova,2010,12,12,12
Romania,2010,15,14,15
Russian Federation,2009,14,14,15
Rwanda,2010,11,11,11
Saint Kitts and Nevis,2008,13,12,13
Saint Lucia,2010,13,12,13
Saint Vincent and the Grenadines,2004,13,13,13
Samoa,2003,13,13,13
San Marino,2010,12,12,13
Sao Tome and Principe,2010,11,11,11
Saudi Arabia,2010,14,14,14
Senegal,2010,8,8,8
Serbia,2010,14,13,14
Seychelles,2008,14,13,15
Sierra Leone,2001,7,9,6
Slovakia,2009,15,14,15
Slovenia,2009,17,16,18
Solomon Islands,2007,9,10,9
Somalia,2007,2,3,2
Spain,2009,16,16,17
Sudan (pre-secession),2000,4,…,…
Suriname,2002,12,11,13
Swaziland,2007,11,11,10
Sweden,2010,16,15,17
Switzerland,2010,16,16,16
Tajikistan,2010,12,12,11
Thailand,2009,12,12,13
The former Yugoslav Republic of Macedonia,2010,13,13,14
Timor-Leste,2009,12,12,11
Togo,2007,11,12,9
Tokelau,2003,12,12,13
Tonga,2006,14,14,14
Trinidad and Tobago,2004,12,12,12
Tunisia,2009,15,14,15
Turkey,2009,13,13,12
Tuvalu,2001,11,10,11
Uganda,2009,11,11,11
Ukraine,2010,15,14,15
United Arab Emirates,2003,12,11,13
United Kingdom of Great Britain and Northern Ireland,2009,16,16,17
United States of America,2010,17,16,18
Uruguay,2008,16,14,17
Uzbekistan,2011,12,12,11
Vanuatu,2004,11,11,10
Venezuela (Bolivarian Republic of),2008,14,13,15
Viet Nam,2010,12,12,12
Yemen,2005,9,11,7
