Country or area,Year,Women,Men,%,Source
Albania,2001,50.2,46.1,39.7,O
Argentina,2011,31.3,11.9,64.8,LFS
Armenia,2008,30.1,19.0,56.2,LFS
Aruba,1994,12.3,4.0,71.0,HS
Australia,2011,38.5,13.2,70.9,LFS
Austria,2011,32.8,7.0,80.2,LFS
Azerbaijan,2003,24.3,13.3,56.6,HS
Bahamas,2002,11.9,9.6,53.9,HS
Bahrain,2004,2.8,2.2,25.1,LFS
Belgium,2011,32.4,7.0,79.9,ELFS
Belize,1999,25.5,12.0,48.9,HS
Bhutan,2011,11.5,7.1,59.6,LFS
Bolivia,2009,30.7,17.3,58.9,HS
Bosnia and Herzegovina,2011,11.6,9.6,…,LFS
Botswana,2006,15.4,11.7,54.7,LFS
Brazil,2009,28.1,10.1,67.5,LFS
British Virgin Islands,1991,14.2,7.8,58.6,PC
Bulgaria,2011,2.6,2.1,52.5,ELFS
Canada,2011,27.2,12.9,66.6,LFS
Chile,2011,25.5,11.8,58.7,LFS
"China, Hong Kong",2011,15.8,11.7,55.5,HS
"China, Macao SAR",2004,9.2,7.9,51.0,HS
Colombia,2010,28.0,12.7,60.0,HS
Costa Rica,2011,27.8,11.4,59.5,HS
Croatia,2011,11.9,7.2,58.0,ELFS
Cyprus,2011,12.8,7.0,60.6,ELFS
Czech Republic,2011,6.6,1.9,72.9,LFS
Denmark,2011,25.2,13.8,62.1,ELFS
Dominica,1997,27.8,11.7,64.6,HS
Dominican Republic,2010,16.4,11.8,50.5,HS
Ecuador,2010,24.4,13.8,52.8,HS
El Salvador,2010,23.4,14.8,53.6,HS
Estonia,2011,12.4,5.1,71.5,LFS
Ethiopia,2004,28.4,16.8,56.2,HS
Finland,2011,16.0,9.6,61.0,LFS
France,2011,22.1,5.9,77.2,ELFS
Georgia,2004,50.5,36.5,56.2,HS
Germany,2011,38.0,8.5,79.2,ELFS
Greece,2011,14.0,5.6,62.8,ELFS
Grenada,1998,35.5,30.2,45.6,HS
Guadeloupe,2011,23.2,15.3,60.9,...
Guatemala,2003,37.8,9.5,69.9,HS
Guyana,2011,22.2,14.3,54.9,...
Honduras,2003,35.0,16.0,53.0,HS
Hungary,2011,6.4,3.4,61.7,LFS
Iceland,2011,24.1,10.4,68.0,LFS
Indonesia,2003,31.0,16.7,44.3,HS
Ireland,2011,39.3,12.6,74.9,ELFS
Israel,2011,21.0,7.0,73.5,LFS
Italy,2011,31.3,6.6,76.6,ELFS
Jamaica,2002,12.9,9.9,52.3,HS
Japan,2011,34.8,10.3,71.0,LFS
Latvia,2011,10.8,7.5,59.5,ELFS
Lithuania,2011,10.4,6.8,61.7,ELFS
Luxembourg,2011,30.2,5.0,82.2,ELFS
Madagascar,2001,27.0,17.5,59.3,HS
Malta,2011,25.6,6.5,67.4,ELFS
Martinique,2011,23.9,13.1,66.3,...
Mauritius,2004,39.1,23.8,44.4,O
Mexico,2011,27.7,12.5,57.1,LFS
Namibia,1997,26.5,8.4,70.6,LFS
Netherlands,2011,60.5,17.1,75.3,ELFS
Netherlands Antilles,1998,18.7,7.1,68.8,HS
New Zealand,2011,34.3,11.2,73.0,LFS
Nicaragua,2010,43.0,21.0,59.1,HS
Norway,2011,30.0,11.0,71.1,LFS
Panama,2010,24.2,15.6,48.2,HS
Paraguay,2010,31.1,14.0,57.8,HS
Poland,2011,12.4,4.9,67.4,LFS
Portugal,2011,14.4,8.8,59.5,ELFS
Republic of Korea,2011,18.5,10.0,56.6,LFS
Republic of Moldova,2004,31.9,21.8,61.3,...
Réunion,2011,33.4,17.3,61.9,...
Romania,2011,11.5,9.6,49.5,ELFS
Russian Federation,2011,5.4,2.8,65.3,LFS
Saint Vincent and the Grenadines,2001,21.0,18.8,41.1,PC
Slovakia,2011,5.7,2.7,61.7,LFS
Slovenia,2011,10.9,6.7,58.0,LFS
South Africa,2011,11.2,5.0,63.2,HS
Spain,2011,21.9,5.5,76.6,ELFS
Suriname,1998,31.9,12.4,59.3,HS
Sweden,2011,18.4,9.8,62.8,LFS
Switzerland,2011,45.5,9.4,80.1,LFS
Syrian Arab Republic,2010,13.3,6.6,27.4,HS
Thailand,2000,7.5,6.5,48.6,HS
TFYR of Macedonia,2011,7.1,5.7,44.9,ELFS
Tonga,2003,44.2,36.9,45.3,LFS
Trinidad and Tobago,2002,9.5,6.9,44.9,HS
Turkey,2011,24.3,6.6,60.0,LFS
United Kingdom,2011,39.3,11.7,74.7,ELFS
Uruguay,2010,27.8,12.8,64.9,HS
"Venezuela, Bolivarian Republic of",2010,16.4,6.5,61.7,HS
Zimbabwe,2004,21.0,17.0,53.9,HS
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
